"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2018","    11612.70","    11655.85","    11549.00","    11565.75","       32997971","         1105.66"
"02-Jan-2018","    11587.85","    11655.50","    11558.45","    11602.35","       25819255","         1210.04"
"03-Jan-2018","    11617.35","    11693.35","    11573.25","    11586.70","       22309482","         1212.57"
"04-Jan-2018","    11599.05","    11607.75","    11510.40","    11590.80","       17417396","          993.59"
"05-Jan-2018","    11575.45","    11691.45","    11541.80","    11633.55","       17507348","         1168.19"
"08-Jan-2018","    11674.35","    11793.85","    11661.50","    11776.85","       17601459","         1034.84"
"09-Jan-2018","    11805.35","    11819.35","    11685.75","    11790.85","       26689866","         1413.40"
"10-Jan-2018","    11803.85","    12076.25","    11762.50","    12054.70","       24012407","         1757.47"
"11-Jan-2018","    12060.80","    12178.80","    12045.45","    12103.10","       27129023","         2022.24"
"12-Jan-2018","    12144.80","    12146.75","    12004.40","    12099.15","       26161722","         2053.47"
"15-Jan-2018","    12103.50","    12214.65","    11971.95","    11992.75","       17080568","         1203.27"
"16-Jan-2018","    12036.55","    12487.25","    12027.30","    12430.95","       38696788","         3047.06"
"17-Jan-2018","    12473.05","    12653.25","    12432.75","    12531.40","       29648559","         2780.78"
"18-Jan-2018","    12565.85","    12605.15","    12431.80","    12570.70","       26886980","         1992.04"
"19-Jan-2018","    12577.25","    12668.55","    12485.30","    12633.85","       17534922","         1327.65"
"22-Jan-2018","    12544.60","    12924.60","    12521.15","    12894.95","       31661630","         2467.99"
"23-Jan-2018","    12919.30","    13084.20","    12898.25","    13048.90","       30760333","         2441.26"
"24-Jan-2018","    13020.30","    13553.95","    13005.95","    13249.55","       50984631","         3992.15"
"25-Jan-2018","    13257.90","    13259.15","    12996.75","    13117.85","       42395918","         2723.25"
"29-Jan-2018","    13113.20","    13328.05","    13096.45","    13242.50","       25031799","         1993.56"
"30-Jan-2018","    13193.00","    13238.50","    13071.85","    13107.90","       35198915","         1848.96"
"31-Jan-2018","    13050.85","    13142.85","    12943.35","    12986.40","       26948151","         2004.28"
"01-Feb-2018","    12965.60","    13141.75","    12812.95","    12964.60","       21842854","         1761.50"
"02-Feb-2018","    12872.50","    13130.25","    12846.20","    12983.60","       23059095","         1723.63"
"05-Feb-2018","    12878.70","    13104.80","    12845.00","    12936.90","       22877661","         1705.59"
"06-Feb-2018","    12516.20","    12750.70","    12490.75","    12562.35","       25026447","         1782.24"
"07-Feb-2018","    12667.60","    12680.30","    12419.40","    12450.05","       22645095","         1580.44"
"08-Feb-2018","    12556.80","    12764.75","    12468.50","    12588.35","       27839336","         1776.56"
"09-Feb-2018","    12449.70","    12556.20","    12350.40","    12492.70","       19357882","         1241.40"
"12-Feb-2018","    12544.70","    12591.95","    12390.90","    12422.65","       20607388","         1255.51"
"14-Feb-2018","    12438.20","    12546.00","    12346.00","    12420.00","       23964695","         1675.03"
"15-Feb-2018","    12497.50","    12584.25","    12439.05","    12456.50","       20368397","         1322.36"
"16-Feb-2018","    12512.75","    12687.45","    12412.10","    12437.90","       22184554","         1678.07"
"19-Feb-2018","    12474.15","    12479.40","    12228.80","    12331.40","       19602259","         1257.88"
"20-Feb-2018","    12272.95","    12491.60","    12268.55","    12372.00","       17745502","         1201.54"
"21-Feb-2018","    12490.50","    12703.85","    12452.35","    12660.05","       30130562","         2322.32"
"22-Feb-2018","    12663.65","    12794.00","    12631.85","    12730.25","       34044908","         2710.49"
"23-Feb-2018","    12784.10","    12888.00","    12701.10","    12871.15","       28957080","         2325.33"
"26-Feb-2018","    12864.60","    12903.90","    12692.35","    12713.15","       23357034","         1504.59"
"27-Feb-2018","    12777.25","    12797.35","    12688.00","    12746.80","       24224177","         1396.43"
"28-Feb-2018","    12744.40","    12904.20","    12696.35","    12809.00","       30263751","         2409.31"
"01-Mar-2018","    12823.90","    12842.65","    12736.40","    12769.45","       18951090","         1282.47"
"05-Mar-2018","    12768.55","    12890.95","    12684.30","    12857.65","       27912338","         2030.52"
"06-Mar-2018","    12924.45","    12930.55","    12667.45","    12706.10","       22173389","         1501.42"
"07-Mar-2018","    12767.45","    12856.55","    12650.25","    12677.10","       20800256","         1554.43"
"08-Mar-2018","    12757.00","    12802.15","    12645.75","    12682.40","       17687606","         1299.04"
"09-Mar-2018","    12710.35","    12805.35","    12656.65","    12747.25","-","-"
"12-Mar-2018","    12825.25","    13012.35","    12813.25","    12923.40","       20430953","         1570.64"
"13-Mar-2018","    12778.35","    12842.20","    12663.30","    12734.20","       61575647","        13792.85"
"14-Mar-2018","    12725.20","    12840.45","    12711.25","    12786.95","       20788341","         1552.87"
"15-Mar-2018","    12815.60","    12860.00","    12727.80","    12762.25","       29153997","         1871.79"
"16-Mar-2018","    12776.25","    12778.60","    12606.60","    12698.40","       35030341","         3283.96"
"19-Mar-2018","    12660.90","    12725.35","    12392.70","    12421.30","       18363549","         1545.80"
"20-Mar-2018","    12385.00","    12644.60","    12375.40","    12609.10","       24306746","         1948.78"
"21-Mar-2018","    12665.75","    12698.35","    12554.15","    12608.85","-","-"
"22-Mar-2018","    12607.65","    12638.95","    12454.50","    12489.60","       18498503","         1329.25"
"23-Mar-2018","    12292.65","    12564.75","    12281.20","    12541.10","       24933528","         2088.07"
"26-Mar-2018","    12536.60","    12542.55","    12392.25","    12462.40","       28517360","         1746.52"
"27-Mar-2018","    12539.50","    12566.50","    12444.70","    12518.20","       21450934","         1222.56"
"28-Mar-2018","    12468.70","    12573.10","    12424.55","    12511.55","       34191641","         2794.98"
"02-Apr-2018","    12542.30","    12723.40","    12541.35","    12707.10","-","-"
"03-Apr-2018","    12637.80","    12708.15","    12557.05","    12615.45","-","-"
"04-Apr-2018","    12689.90","    12689.90","    12442.15","    12490.85","       19361343","         1329.90"
"05-Apr-2018","    12617.45","    12695.80","    12578.95","    12682.55","       19539171","         1359.37"
"06-Apr-2018","    12685.30","    12687.40","    12569.25","    12603.35","       17601483","         1147.62"
"09-Apr-2018","    12605.35","    12640.30","    12506.40","    12531.20","-","-"
"10-Apr-2018","    12532.25","    12618.80","    12519.45","    12576.50","       21570755","         1408.33"
"11-Apr-2018","    12629.40","    12785.30","    12608.85","    12759.10","       17903590","         1565.25"
"12-Apr-2018","    12782.05","    13219.55","    12766.65","    13168.20","       31423294","         3096.30"
"13-Apr-2018","    13240.65","    13380.40","    13085.05","    13260.45","       36821452","         3819.25"
"16-Apr-2018","    12936.30","    13242.05","    12935.25","    13203.10","       32908331","         3296.71"
"17-Apr-2018","    13177.10","    13194.40","    13094.00","    13162.30","       20354199","         1867.74"
"18-Apr-2018","    13185.20","    13218.45","    13106.30","    13124.00","-","-"
"19-Apr-2018","    13192.95","    13295.70","    13157.85","    13273.45","       23540245","         2308.10"
"20-Apr-2018","    13379.35","    13964.30","    13371.85","    13910.35","       58967123","         7010.06"
"23-Apr-2018","    13897.65","    14294.15","    13836.50","    14013.95","       55531863","         6617.75"
"24-Apr-2018","    13976.70","    14071.55","    13704.85","    13734.80","       26771248","         3063.23"
"25-Apr-2018","    13737.50","    13972.65","    13665.70","    13892.40","       35668126","         3767.13"
"26-Apr-2018","    13836.95","    14056.15","    13827.10","    14026.65","       43169671","         4666.05"
"27-Apr-2018","    14015.70","    14070.35","    13766.75","    13794.90","       22682936","         2267.64"
