"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2015","    11214.80","    11235.75","    11166.35","    11215.70","        4246150","          357.51"
"02-Jan-2015","    11214.65","    11399.10","    11214.65","    11372.10","       10004862","          964.56"
"05-Jan-2015","    11369.35","    11433.75","    11186.95","    11248.55","        8858018","         1059.00"
"06-Jan-2015","    11186.10","    11186.10","    10909.00","    10959.90","       12515739","         1364.50"
"07-Jan-2015","    11013.20","    11042.35","    10889.55","    10916.00","       10976356","         1203.44"
"08-Jan-2015","    11031.15","    11058.15","    10915.05","    11018.15","       12975117","         1485.63"
"09-Jan-2015","    11058.05","    11484.90","    10932.20","    11399.65","       24812224","         3536.42"
"12-Jan-2015","    11456.00","    11565.85","    11378.80","    11543.65","       16505074","         1712.31"
"13-Jan-2015","    11545.25","    11546.60","    11437.95","    11502.80","       12511358","         1417.51"
"14-Jan-2015","    11561.95","    11631.55","    11521.00","    11614.30","       12544558","         1438.53"
"15-Jan-2015","    11672.30","    11774.50","    11575.10","    11669.85","       13882213","         1764.56"
"16-Jan-2015","    11708.85","    11708.85","    11582.85","    11659.60","       12368107","         1714.69"
"19-Jan-2015","    11732.50","    11797.60","    11629.05","    11642.75","       13696381","         1183.75"
"20-Jan-2015","    11681.80","    11721.90","    11635.70","    11695.00","       11021415","         1234.73"
"21-Jan-2015","    11732.45","    11838.30","    11659.70","    11813.70","       18679282","         1973.07"
"22-Jan-2015","    11832.55","    11884.50","    11782.95","    11850.85","       15715515","         1655.67"
"23-Jan-2015","    11877.90","    11921.00","    11767.40","    11885.15","       30034833","         2001.21"
"27-Jan-2015","    11915.60","    11917.25","    11679.55","    11693.45","       17005337","         1866.84"
"28-Jan-2015","    11712.55","    11821.80","    11693.80","    11809.55","       16876897","         1937.59"
"29-Jan-2015","    11812.35","    11861.50","    11728.75","    11824.15","       15520902","         2160.79"
"30-Jan-2015","    11998.35","    12003.35","    11799.35","    11824.75","       18559078","         2905.95"
"02-Feb-2015","    11871.35","    11972.60","    11847.80","    11943.95","       17272113","         2304.05"
"03-Feb-2015","    11963.75","    12000.65","    11849.00","    11963.90","       21053605","         1770.59"
"04-Feb-2015","    12027.10","    12027.10","    11902.35","    11938.90","       14453955","         1290.57"
"05-Feb-2015","    11967.75","    12295.35","    11963.80","    12165.15","       15826989","         2124.01"
"06-Feb-2015","    12190.70","    12380.45","    12186.95","    12267.95","       11167848","         1325.99"
"09-Feb-2015","    12160.90","    12285.45","    12160.90","    12249.30","       10996415","         1221.01"
"10-Feb-2015","    12215.20","    12297.75","    12129.65","    12162.85","       17687306","         1851.87"
"11-Feb-2015","    12198.45","    12265.70","    12149.35","    12243.40","       12905131","         1363.70"
"12-Feb-2015","    12277.20","    12397.00","    12253.05","    12372.00","       16012381","         1515.95"
"13-Feb-2015","    12369.60","    12506.70","    12353.25","    12464.95","       12674963","         1527.35"
"16-Feb-2015","    12461.75","    12541.05","    12457.65","    12487.20","       14443816","         1571.85"
