"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","    14426.45","    14480.55","    14357.05","    14450.90","       14008384","          719.20"
"02-Jan-2019","    14467.40","    14593.85","    14371.00","    14447.10","       27024498","         1623.15"
"03-Jan-2019","    14479.75","    14542.30","    14276.50","    14322.15","       25156380","         1666.52"
"04-Jan-2019","    14332.65","    14359.20","    13958.85","    14146.15","       32610951","         2333.04"
"07-Jan-2019","    14238.05","    14316.00","    14204.65","    14291.50","       23053554","         1489.59"
"08-Jan-2019","    14344.60","    14357.75","    14238.20","    14285.70","       30284463","         1787.02"
"09-Jan-2019","    14417.20","    14495.70","    14162.20","    14326.05","       39777101","         2534.27"
"10-Jan-2019","    14388.85","    14393.45","    14272.25","    14323.25","       25385563","         1726.05"
"11-Jan-2019","    14288.95","    14326.90","    14134.25","    14307.10","       36388890","         3354.29"
"14-Jan-2019","    14474.50","    14495.70","    14196.00","    14223.60","       41011605","         2803.59"
"15-Jan-2019","    14265.70","    14685.50","    14262.40","    14658.50","       82293752","         4173.94"
"16-Jan-2019","    14688.85","    14732.75","    14610.10","    14707.80","       41887904","         2152.28"
"17-Jan-2019","    14714.25","    14813.90","    14660.05","    14800.25","       38250488","         2541.57"
"18-Jan-2019","    14744.05","    14923.75","    14709.45","    14892.95","       34624811","         2132.03"
"21-Jan-2019","    14920.35","    15100.20","    14850.00","    14966.40","       45511115","         2765.18"
"22-Jan-2019","    14927.15","    15019.60","    14814.95","    14962.60","       33064975","         2295.21"
"23-Jan-2019","    14975.20","    15003.85","    14856.85","    14888.75","       37429423","         2544.04"
"24-Jan-2019","    14897.45","    15003.55","    14793.25","    14971.85","       33165996","         1848.91"
"25-Jan-2019","    14952.75","    15161.20","    14927.25","    15039.25","       39347664","         1985.66"
"28-Jan-2019","    15085.05","    15161.70","    15026.75","    15120.10","       35878523","         2037.27"
"29-Jan-2019","    15126.15","    15293.00","    14986.70","    15231.30","       31191349","         1972.02"
"30-Jan-2019","    15304.00","    15381.45","    15192.40","    15255.20","       37418911","         2350.85"
"31-Jan-2019","    15299.45","    15513.45","    15276.05","    15499.30","       47438828","         3095.84"
"01-Feb-2019","    15522.55","    15751.75","    15485.70","    15724.30","       29344350","         2007.39"
"04-Feb-2019","    15727.20","    15819.70","    15635.90","    15754.80","       23254965","         1305.67"
"05-Feb-2019","    15709.00","    15812.15","    15634.95","    15738.70","       26077745","         1193.27"
"06-Feb-2019","    15857.70","    16090.70","    15835.70","    16055.60","       44339473","         2544.02"
"07-Feb-2019","    16045.55","    16167.85","    16031.15","    16085.85","       30232353","         1525.91"
"08-Feb-2019","    16001.15","    16145.70","    15979.80","    16019.80","       25548817","         1771.19"
"11-Feb-2019","    16050.20","    16159.05","    16002.50","    16099.05","       22644494","         1592.52"
"12-Feb-2019","    16093.45","    16094.60","    15788.10","    15938.60","       33477588","         1842.84"
"13-Feb-2019","    15958.40","    16087.30","    15885.30","    16041.65","       28680952","         1679.80"
"14-Feb-2019","    15992.45","    16002.20","    15828.85","    15861.65","       25024087","         1390.32"
"15-Feb-2019","    15898.40","    15912.45","    15620.45","    15815.60","       55717193","         1769.87"
"18-Feb-2019","    15895.50","    15948.10","    15618.05","    15659.00","       30337931","         1910.98"
"19-Feb-2019","    15644.05","    15651.90","    15287.50","    15333.50","       28734431","         2237.58"
"20-Feb-2019","    15382.45","    15651.70","    15330.80","    15609.45","       33005377","         2140.99"
"21-Feb-2019","    15609.15","    15691.40","    15492.20","    15588.90","       40924365","         3161.58"
"22-Feb-2019","    15582.80","    15717.30","    15543.50","    15684.70","       26504046","         1638.83"
"25-Feb-2019","    15738.95","    16029.95","    15729.25","    16003.70","       25015005","         1827.72"
"26-Feb-2019","    15933.80","    16069.40","    15874.95","    15989.60","       33173348","         2846.89"
"27-Feb-2019","    15983.80","    16007.65","    15803.70","    15902.10","       39729486","         2502.14"
"28-Feb-2019","    15974.10","    15974.10","    15694.85","    15732.00","       48900361","         3746.36"
"01-Mar-2019","    15778.15","    15871.10","    15752.20","    15848.30","       31816077","         2135.47"
"05-Mar-2019","    15839.20","    15839.20","    15634.55","    15664.10","       55372214","         2188.17"
"06-Mar-2019","    15732.35","    15814.70","    15681.10","    15735.05","       66054615","         2396.50"
"07-Mar-2019","    15788.15","    15788.15","    15558.95","    15582.10","       35405290","         2226.77"
"08-Mar-2019","    15544.35","    15545.65","    15388.20","    15408.70","       47183037","         2172.98"
"11-Mar-2019","    15432.90","    15500.75","    15349.60","    15388.50","       66030778","         2384.96"
"12-Mar-2019","    15408.85","    15497.20","    15349.80","    15384.55","       50310706","         2372.10"
"13-Mar-2019","    15442.25","    15550.85","    15300.25","    15342.90","       49018707","         2560.27"
"14-Mar-2019","    15422.60","    15437.05","    15202.05","    15260.45","       39544967","         1851.65"
"15-Mar-2019","    15346.00","    15649.25","    15324.85","    15546.60","       55791714","         3631.75"
"18-Mar-2019","    15614.80","    15661.30","    15304.75","    15359.45","       30222245","         2046.39"
"19-Mar-2019","    15432.50","    15545.45","    15296.00","    15495.55","       33434307","         2268.18"
"20-Mar-2019","    15563.95","    15735.25","    15554.45","    15599.25","       43418330","         2957.05"
"22-Mar-2019","    15652.30","    15652.30","    15462.20","    15551.10","       32634674","         2167.76"
"25-Mar-2019","    15579.05","    15579.05","    15388.40","    15416.85","       28304864","         1661.72"
"26-Mar-2019","    15415.50","    15426.25","    15218.25","    15356.60","       28385813","         1993.57"
"27-Mar-2019","    15352.60","    15421.85","    15307.10","    15339.40","       27539227","         1842.83"
"28-Mar-2019","    15410.35","    15636.50","    15399.45","    15566.75","       38025265","         2708.83"
"29-Mar-2019","    15681.60","    15729.50","    15578.20","    15628.20","       28698651","         2018.41"
"01-Apr-2019","    15668.80","    15922.05","    15662.55","    15840.65","       27734179","         1820.31"
"02-Apr-2019","    15902.90","    16013.25","    15874.65","    15988.40","       25358268","         2111.92"
"03-Apr-2019","    15996.50","    16009.85","    15862.50","    15962.95","       25163308","         1951.19"
"04-Apr-2019","    15947.80","    15954.15","    15691.00","    15744.80","       31363340","         2417.67"
"05-Apr-2019","    15800.45","    15952.50","    15759.80","    15923.05","       23506932","         1788.82"
"08-Apr-2019","    15982.85","    16061.30","    15857.15","    16028.25","       22086073","         1657.23"
"09-Apr-2019","    16048.25","    16203.25","    15999.65","    16121.60","       34843987","         2244.02"
"10-Apr-2019","    16138.85","    16172.80","    15978.20","    15999.15","       56982204","         2576.87"
"11-Apr-2019","    16018.00","    16030.85","    15852.30","    15874.75","       37532853","         2101.12"
"12-Apr-2019","    15918.10","    15989.70","    15832.00","    15911.10","       52345311","         1994.03"
"15-Apr-2019","    15917.70","    16136.60","    15862.00","    16113.70","       88386836","         5271.60"
"16-Apr-2019","    16166.15","    16176.60","    16064.35","    16084.90","       70237133","         3306.17"
"18-Apr-2019","    16177.85","    16177.85","    16021.00","    16079.30","       72219746","         3695.11"
"22-Apr-2019","    16077.55","    16204.30","    16057.90","    16150.60","       30038085","         1640.08"
"23-Apr-2019","    16179.45","    16193.60","    16082.45","    16166.30","       33651817","         1436.58"
"24-Apr-2019","    16182.90","    16405.80","    16161.35","    16370.35","       40592814","         2339.67"
"25-Apr-2019","    16361.00","    16388.55","    16299.20","    16352.75","       43108679","         2776.80"
"26-Apr-2019","    16393.80","    16523.75","    16381.45","    16504.45","       26445478","         1806.84"
"30-Apr-2019","    16510.95","    16720.40","    16502.45","    16705.40","       37839366","         2685.13"
"02-May-2019","    16656.90","    16673.60","    16387.30","    16403.70","       27472186","         1851.01"
"03-May-2019","    16259.50","    16265.30","    16065.45","    16092.90","       32287604","         2224.45"
"06-May-2019","    15949.30","    16146.40","    15925.40","    16111.35","       33864211","         2033.24"
"07-May-2019","    16145.65","    16225.85","    16100.65","    16135.75","       26138540","         1691.40"
"08-May-2019","    16106.05","    16129.40","    15998.60","    16061.60","       25144861","         1806.81"
"09-May-2019","    16031.60","    16164.90","    16002.45","    16132.85","       28758628","         2081.33"
"10-May-2019","    16117.60","    16146.35","    15911.95","    15949.60","       30520016","         2261.30"
"13-May-2019","    15949.00","    16095.70","    15915.15","    15955.30","       25189674","         1634.45"
"14-May-2019","    15942.95","    15966.65","    15642.95","    15762.75","       32260097","         2085.05"
"15-May-2019","    15793.35","    15896.30","    15743.70","    15776.80","       26513999","         1563.41"
"16-May-2019","    15816.65","    15994.25","    15779.75","    15933.95","       20983387","         1404.02"
"17-May-2019","    15962.40","    16000.35","    15803.20","    15843.35","       21610726","         1514.72"
"20-May-2019","    15933.30","    16009.65","    15642.70","    15968.20","       33973487","         2055.03"
"21-May-2019","    15982.30","    15989.05","    15737.15","    15766.95","       21394317","         1494.32"
"22-May-2019","    15750.05","    15812.25","    15640.60","    15666.15","       29498528","         1947.60"
"23-May-2019","    15772.05","    15819.05","    15506.20","    15538.85","       26404679","         1813.57"
"24-May-2019","    15622.25","    15626.35","    15461.85","    15569.85","       27924145","         1982.80"
"27-May-2019","    15587.40","    15629.60","    15526.40","    15556.65","       32487615","         1972.03"
"28-May-2019","    15614.10","    15806.20","    15554.90","    15762.05","      104740630","         5491.01"
"29-May-2019","    15773.30","    15973.00","    15754.35","    15865.60","       30451270","         2293.72"
"30-May-2019","    15908.95","    16034.75","    15879.20","    15997.35","       51495682","         3250.98"
"31-May-2019","    16070.60","    16197.35","    16042.60","    16160.65","       53201572","         2650.82"
