"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2016","    11210.25","    11221.60","    11137.85","    11174.85","        3126850","          319.03"
"04-Jan-2016","    11144.00","    11160.95","    11004.65","    11029.25","        7875357","          767.78"
"05-Jan-2016","    11082.60","    11084.60","    10945.20","    10997.15","        7909892","          859.88"
"06-Jan-2016","    11027.55","    11037.40","    10979.45","    11018.15","        8585557","          918.75"
"07-Jan-2016","    10947.75","    10964.65","    10822.70","    10863.20","       10454519","         1066.61"
"08-Jan-2016","    10933.30","    11007.50","    10896.45","    10989.55","        7287266","          734.59"
"11-Jan-2016","    10898.80","    10917.45","    10797.70","    10823.90","        9742884","         1008.70"
"12-Jan-2016","    10850.25","    10850.25","    10659.25","    10790.35","        9984443","         1085.98"
"13-Jan-2016","    10807.85","    10860.40","    10646.55","    10839.85","       11133904","         1322.31"
"14-Jan-2016","    10730.65","    11068.90","    10685.35","    10980.45","       23469653","         2526.62"
"15-Jan-2016","    11050.65","    11057.70","    10949.95","    10994.95","       14012251","         1579.57"
"18-Jan-2016","    10954.20","    11084.40","    10954.20","    10984.00","       11716225","         1244.04"
"19-Jan-2016","    11052.40","    11064.80","    10873.60","    10963.10","       12176980","         1166.12"
"20-Jan-2016","    10897.80","    10945.40","    10855.20","    10910.50","       10426978","         1015.56"
"21-Jan-2016","    10957.95","    10994.90","    10893.35","    10934.70","       10558161","         1077.39"
"22-Jan-2016","    11020.60","    11030.65","    10961.35","    11006.70","        7367656","          773.08"
"25-Jan-2016","    11047.00","    11113.80","    11000.25","    11025.35","        6649189","          691.76"
"27-Jan-2016","    11052.55","    11061.80","    10992.45","    11029.10","       10815699","         1007.87"
"28-Jan-2016","    11010.10","    11073.75","    10984.25","    11002.70","       13918783","         1415.82"
"29-Jan-2016","    11061.85","    11266.75","    11024.95","    11236.15","       17438592","         1601.88"
"01-Feb-2016","    11271.15","    11409.10","    11234.80","    11305.25","       16768205","         1262.37"
"02-Feb-2016","    11325.75","    11377.95","    11182.50","    11242.10","       19286309","         1503.46"
"03-Feb-2016","    11179.75","    11218.45","    11065.80","    11122.25","       12152041","          999.52"
"04-Feb-2016","    11178.25","    11289.80","    11148.15","    11213.65","       10379772","          917.55"
"05-Feb-2016","    11222.20","    11285.10","    11188.45","    11227.55","        8207885","          760.67"
"08-Feb-2016","    11160.85","    11190.35","    10962.80","    11001.45","        7344448","          673.39"
"09-Feb-2016","    10866.20","    10866.20","    10590.10","    10614.25","       14971950","         1264.94"
"10-Feb-2016","    10614.30","    10693.90","    10570.65","    10600.45","       13147364","         1060.08"
"11-Feb-2016","    10615.35","    10615.35","    10279.70","    10312.95","       12495553","         1025.67"
"12-Feb-2016","    10404.60","    10462.90","    10157.10","    10324.45","       17610027","         1287.84"
"15-Feb-2016","    10446.25","    10544.45","    10437.00","    10493.75","       12549138","         1027.81"
"16-Feb-2016","    10487.40","    10511.40","    10393.60","    10418.65","        8993279","          780.51"
"17-Feb-2016","    10429.35","    10518.25","    10325.25","    10502.45","       17356929","         1193.70"
"18-Feb-2016","    10554.55","    10723.40","    10554.45","    10702.25","       16150256","         1195.25"
"19-Feb-2016","    10670.75","    10791.05","    10649.75","    10768.90","       10428901","          787.83"
"22-Feb-2016","    10778.80","    10778.80","    10691.35","    10720.60","        9168828","          764.93"
"23-Feb-2016","    10721.40","    10729.60","    10575.15","    10601.45","        8340937","          677.14"
"24-Feb-2016","    10581.00","    10586.05","    10446.40","    10468.05","        8531990","          781.40"
"25-Feb-2016","    10469.85","    10484.95","    10329.20","    10403.50","       10694119","          902.75"
"26-Feb-2016","    10488.45","    10567.95","    10419.00","    10463.35","        9415436","          790.18"
"29-Feb-2016","    10504.40","    10504.40","    10075.75","    10278.40","       12161703","         1130.70"
"01-Mar-2016","    10337.95","    10657.10","    10313.50","    10637.35","       10385527","          968.60"
"02-Mar-2016","    10740.45","    10920.90","    10642.05","    10897.10","       12342461","         1109.95"
"03-Mar-2016","    10982.00","    11089.45","    10950.85","    11054.95","       20107981","         1721.26"
"04-Mar-2016","    11086.10","    11088.10","    10930.95","    10980.85","       23086012","         1908.73"
"08-Mar-2016","    10928.40","    10977.30","    10832.25","    10914.20","       22893639","         1947.32"
"09-Mar-2016","    10815.05","    10947.70","    10733.20","    10925.80","       34104849","         2559.92"
"10-Mar-2016","    10923.75","    10924.80","    10783.05","    10826.90","       30038742","         2712.52"
"11-Mar-2016","    10825.90","    10898.70","    10805.75","    10835.45","       14674310","         1210.76"
"14-Mar-2016","    10854.20","    10935.65","    10836.95","    10866.85","       14231291","         1103.71"
"15-Mar-2016","    10867.65","    10900.25","    10709.00","    10730.45","       11141197","         1013.73"
"16-Mar-2016","    10733.70","    10819.35","    10698.70","    10803.20","       10671044","          969.36"
"17-Mar-2016","    10854.00","    10961.65","    10854.00","    10923.50","       14035701","         1246.39"
"18-Mar-2016","    10938.05","    11177.25","    10938.05","    11159.70","       17103977","         1568.44"
"21-Mar-2016","    11158.95","    11221.80","    11093.60","    11193.85","       10929640","         1053.87"
"22-Mar-2016","    11171.90","    11229.25","    11118.50","    11206.60","       19527945","         1673.32"
"23-Mar-2016","    11219.70","    11246.00","    11125.10","    11228.15","       17617607","         1603.86"
"28-Mar-2016","    11328.15","    11384.90","    11112.85","    11168.70","       20401896","         1961.31"
"29-Mar-2016","    11172.80","    11188.65","    11089.00","    11114.70","       14642638","         1326.12"
"30-Mar-2016","    11127.50","    11271.70","    11127.50","    11254.55","       14607256","         1308.75"
"31-Mar-2016","    11240.60","    11387.90","    11216.45","    11309.30","       28703814","         2801.90"
"01-Apr-2016","    11306.35","    11352.05","    11128.05","    11194.65","       13591384","         1334.89"
"04-Apr-2016","    11224.90","    11407.45","    11224.90","    11387.70","       10746882","         1037.20"
"05-Apr-2016","    11386.55","    11399.05","    11245.50","    11274.95","        9810804","          971.56"
"06-Apr-2016","    11325.10","    11325.10","    11165.25","    11224.95","        9646638","          903.55"
"07-Apr-2016","    11264.60","    11264.60","    11087.20","    11102.60","        8675441","          935.14"
"08-Apr-2016","    11082.25","    11085.65","    11028.15","    11061.15","        9261058","          829.03"
"11-Apr-2016","    11066.25","    11304.65","    10975.15","    11291.35","       13319300","         1314.76"
"12-Apr-2016","    11284.00","    11332.85","    11243.75","    11304.45","       11757296","         1109.21"
"13-Apr-2016","    11412.10","    11430.95","    11330.50","    11351.85","       14301422","         1464.01"
"18-Apr-2016","    11493.50","    11638.10","    11485.15","    11597.25","       27146780","         3255.56"
"20-Apr-2016","    11697.40","    11697.40","    11506.15","    11552.75","       17857029","         2016.78"
"21-Apr-2016","    11500.45","    11514.50","    11329.90","    11355.40","       13926801","         1265.52"
"22-Apr-2016","    11326.55","    11376.05","    11292.40","    11304.05","       10321425","          980.95"
"25-Apr-2016","    11288.70","    11380.55","    11267.10","    11315.45","        8852971","          952.20"
"26-Apr-2016","    11292.35","    11444.35","    11251.35","    11417.35","       10029117","         1067.69"
"27-Apr-2016","    11398.90","    11507.75","    11398.90","    11453.00","        8807962","          934.36"
"28-Apr-2016","    11350.15","    11428.65","    11265.70","    11287.15","       26615952","         2637.09"
"29-Apr-2016","    11269.10","    11279.25","    11140.55","    11196.25","       17856349","         1598.03"
"02-May-2016","    11181.15","    11181.15","    11075.95","    11117.70","        8245605","          763.74"
"03-May-2016","    11129.90","    11167.90","    10909.95","    10925.70","       12701121","         1215.55"
"04-May-2016","    10913.75","    10969.60","    10858.80","    10948.60","       13630944","         1210.09"
"05-May-2016","    10966.75","    11024.15","    10909.60","    10973.85","       11557528","         1060.81"
"06-May-2016","    10960.10","    10960.10","    10846.65","    10887.00","        9008153","          750.27"
"09-May-2016","    10900.10","    11006.50","    10884.05","    10991.50","       10704177","         1028.85"
"10-May-2016","    11010.25","    11065.70","    10948.75","    11034.40","       11025224","          924.58"
"11-May-2016","    10926.85","    11030.30","    10900.40","    10960.40","       11881912","         1041.72"
"12-May-2016","    10967.35","    11089.80","    10955.60","    11081.10","        8100065","          761.81"
"13-May-2016","    11081.30","    11081.30","    10986.20","    11030.70","       10936677","         1032.74"
"16-May-2016","    11063.10","    11134.30","    11030.05","    11087.75","        8453249","          764.77"
"17-May-2016","    11126.75","    11197.35","    11101.25","    11125.10","        9819119","          931.19"
"18-May-2016","    11073.55","    11141.50","    11038.25","    11120.05","        9019440","          843.86"
"19-May-2016","    11124.80","    11136.70","    11067.20","    11094.60","        7759823","          705.01"
"20-May-2016","    11067.00","    11149.15","    11025.70","    11036.15","       10263214","          921.64"
"23-May-2016","    11080.40","    11080.40","    10917.15","    10939.90","       13950324","         1219.08"
"24-May-2016","    10946.50","    10946.50","    10868.15","    10924.80","       14221089","         1115.92"
"25-May-2016","    11019.05","    11223.40","    11019.05","    11215.50","       20906137","         1487.58"
"26-May-2016","    11231.85","    11366.05","    11178.25","    11337.15","       15792493","         1380.56"
"27-May-2016","    11325.70","    11462.05","    11325.70","    11420.85","       11321580","         1044.96"
"30-May-2016","    11433.95","    11579.25","    11433.95","    11547.50","       10232578","          944.93"
"31-May-2016","    11554.65","    11559.45","    11374.85","    11395.85","       32132052","         2958.19"
"01-Jun-2016","    11405.50","    11516.00","    11405.50","    11494.90","       10787515","         1057.79"
"02-Jun-2016","    11447.05","    11586.20","    11399.45","    11458.20","       13948173","         1207.37"
"03-Jun-2016","    11482.05","    11527.00","    11450.25","    11462.00","        8743264","          832.56"
"06-Jun-2016","    11443.50","    11469.15","    11382.75","    11395.80","       10312241","          914.26"
"07-Jun-2016","    11434.60","    11461.25","    11384.45","    11413.35","       11928792","         1033.06"
"08-Jun-2016","    11427.15","    11427.15","    11380.90","    11404.50","       10442067","         1025.80"
"09-Jun-2016","    11413.30","    11413.30","    11215.95","    11264.85","       14935866","         1461.70"
"10-Jun-2016","    11226.45","    11320.40","    11210.60","    11229.05","       12821894","         1180.50"
"13-Jun-2016","    11164.15","    11214.20","    11111.70","    11191.55","        8343619","          780.21"
"14-Jun-2016","    11210.65","    11222.35","    11110.75","    11169.45","        6907602","          617.32"
"15-Jun-2016","    11195.95","    11293.15","    11172.60","    11282.05","        6976940","          757.72"
"16-Jun-2016","    11249.70","    11263.50","    11128.95","    11244.25","        7378522","          723.65"
"17-Jun-2016","    11258.65","    11304.80","    11242.55","    11290.80","       12449933","         1236.85"
"20-Jun-2016","    11272.95","    11518.70","    11256.65","    11506.60","       12629155","         1202.95"
"21-Jun-2016","    11515.25","    11519.90","    11453.20","    11488.45","        8232500","          774.15"
"22-Jun-2016","    11509.05","    11524.30","    11421.55","    11490.80","        7632195","          752.74"
"23-Jun-2016","    11469.35","    11526.40","    11396.75","    11487.05","        6471630","          665.72"
"24-Jun-2016","    11193.25","    11218.30","    11043.10","    11203.15","       14923291","         1503.54"
"27-Jun-2016","    11069.90","    11094.80","    10976.80","    11008.05","        9687213","         1157.68"
"28-Jun-2016","    10978.60","    11031.50","    10874.60","    10884.65","       13377522","         1463.86"
"29-Jun-2016","    10943.30","    11072.30","    10900.95","    11057.40","       10849342","         1071.25"
"30-Jun-2016","    11109.70","    11156.40","    11052.25","    11120.15","       15207257","         1699.33"
